country,code,date,carbon
United States,USA,1901,8.9814
United States,USA,1902,9.3288
United States,USA,1903,10.6978
United States,USA,1904,10.3411
United States,USA,1905,11.3363
United States,USA,1906,11.6635
United States,USA,1907,13.2916
United States,USA,1908,11.3937
United States,USA,1909,12.379
United States,USA,1910,13.2645
United States,USA,1911,12.911
United States,USA,1912,13.5663
United States,USA,1913,14.3525
United States,USA,1914,12.9212
United States,USA,1915,13.2123
United States,USA,1916,14.459
United States,USA,1917,15.673
United States,USA,1918,16.1623
United States,USA,1919,13.4852
United States,USA,1920,15.6217
United States,USA,1921,12.6114
United States,USA,1922,12.5353
United States,USA,1923,16.3202
United States,USA,1924,14.4013
United States,USA,1925,14.6923
United States,USA,1926,15.6973
United States,USA,1927,15.1192
United States,USA,1928,14.6453
United States,USA,1929,15.5022
United States,USA,1930,13.6188
United States,USA,1931,11.4747
United States,USA,1932,9.6374
United States,USA,1933,10.2631
United States,USA,1934,10.8515
United States,USA,1935,11.1966
United States,USA,1936,12.7656
United States,USA,1937,13.2625
United States,USA,1938,11.1359
United States,USA,1939,12.1734
United States,USA,1940,13.5274
United States,USA,1941,14.5805
United States,USA,1942,15.4896
United States,USA,1943,15.7903
United States,USA,1944,16.7588
United States,USA,1945,15.9519
United States,USA,1946,15.0525
United States,USA,1947,16.3479
United States,USA,1948,16.751
United States,USA,1949,13.8397
United States,USA,1950,16.0031
United States,USA,1951,16.2774
United States,USA,1952,15.6253
United States,USA,1953,15.7485
United States,USA,1954,14.7527
United States,USA,1955,15.8916
United States,USA,1956,16.3694
United States,USA,1957,15.9526
United States,USA,1958,15.1942
United States,USA,1959,15.4078
United States,USA,1960,15.5159
United States,USA,1961,15.2276
United States,USA,1962,15.5668
United States,USA,1963,16.0378
United States,USA,1964,16.5348
United States,USA,1965,17.0194
United States,USA,1966,17.6884
United States,USA,1967,18.1715
United States,USA,1968,18.6618
United States,USA,1969,19.4305
United States,USA,1970,20.7121
United States,USA,1971,20.6508
United States,USA,1972,21.4413
United States,USA,1973,22.2365
United States,USA,1974,21.2828
United States,USA,1975,20.4401
United States,USA,1976,21.4738
United States,USA,1977,21.9122
United States,USA,1978,21.9389
United States,USA,1979,22.0303
United States,USA,1980,20.9533
United States,USA,1981,20.2308
United States,USA,1982,19.0191
United States,USA,1983,18.7653
United States,USA,1984,19.5668
United States,USA,1985,19.3446
United States,USA,1986,19.2087
United States,USA,1987,19.6915
United States,USA,1988,20.4157
United States,USA,1989,20.5502
United States,USA,1990,20.2818
United States,USA,1991,19.8709
United States,USA,1992,20.1077
United States,USA,1993,20.2955
United States,USA,1994,20.4347
United States,USA,1995,20.4459
United States,USA,1996,20.9089
United States,USA,1997,20.9282
United States,USA,1998,20.8269
United States,USA,1999,20.839
United States,USA,2000,21.3357
United States,USA,2001,20.7474
United States,USA,2002,20.7003
United States,USA,2003,20.7437
United States,USA,2004,20.913
United States,USA,2005,20.7954
United States,USA,2006,20.324
United States,USA,2007,20.3953
United States,USA,2008,19.4872
United States,USA,2009,17.8847
United States,USA,2010,18.3676
United States,USA,2011,17.7807
United States,USA,2012,16.9998
United States,USA,2013,17.3017
United States,USA,2014,17.3306
United States,USA,2015,16.7408
United States,USA,2016,16.2469
United States,USA,2017,16.0197
United States,USA,2018,16.434
United States,USA,2019,15.972
United States,USA,2020,14.2379
