country,country_code,date,carbon
United States,USA,1893,454094837
United States,USA,1894,425050339
United States,USA,1895,479948081
United States,USA,1896,480882466
United States,USA,1897,500287132
United States,USA,1898,545321449
United States,USA,1899,625534018
United States,USA,1900,662738378
United States,USA,1901,721527528
United States,USA,1902,764495745
United States,USA,1903,894406917
United States,USA,1904,882057522
United States,USA,1905,986482421
United States,USA,1906,1035471220
United States,USA,1907,1203861393
United States,USA,1908,1052812866
United States,USA,1909,1165706090
United States,USA,1910,1271582032
United States,USA,1911,1258666523
United States,USA,1912,1343565478
United States,USA,1913,1442542037
United States,USA,1914,1317980205
United States,USA,1915,1367696953
United States,USA,1916,1518980631
United States,USA,1917,1670970570
United States,USA,1918,1747718076
United States,USA,1919,1479158809
United States,USA,1920,1738245691
United States,USA,1921,1423668567
United States,USA,1922,1435758240
United States,USA,1923,1896735721
United States,USA,1924,1698320191
United States,USA,1925,1758097952
United States,USA,1926,1905959151
United States,USA,1927,1862746373
United States,USA,1928,1830870050
United States,USA,1929,1963413966
United States,USA,1930,1744828375
United States,USA,1931,1484892625
United States,USA,1932,1257773137
United States,USA,1933,1348842461
United States,USA,1934,1436196202
United States,USA,1935,1492279833
United States,USA,1936,1713350470
United States,USA,1937,1792546073
United States,USA,1938,1515692978
United States,USA,1939,1670854053
United States,USA,1940,1874914031
United States,USA,1941,2043495546
United States,USA,1942,2198165988
United States,USA,1943,2271984950
United States,USA,1944,2444854078
United States,USA,1945,2359495386
United States,USA,1946,2257403592
United States,USA,1947,2485751989
United States,USA,1948,2582445156
United States,USA,1949,2164746794
United States,USA,1950,2541361422
United States,USA,1951,2618575989
United States,USA,1952,2551082448
United States,USA,1953,2612826366
United States,USA,1954,2489313565
United States,USA,1955,2728348348
United States,USA,1956,2859820068
United States,USA,1957,2835605945
United States,USA,1958,2746936839
United States,USA,1959,2831737062
United States,USA,1960,2897138041
United States,USA,1961,2886696092
United States,USA,1962,2993718164
United States,USA,1963,3126294023
United States,USA,1964,3264110570
United States,USA,1965,3399341865
United States,USA,1966,3571208560
United States,USA,1967,3705254221
United States,USA,1968,3840702204
United States,USA,1969,4034925667
United States,USA,1970,4339471089
United States,USA,1971,4365246732
United States,USA,1972,4572790619
United States,USA,1973,4784822811
United States,USA,1974,4620820271
United States,USA,1975,4478038483
United States,USA,1976,4747563213
United States,USA,1977,4889398200
United States,USA,1978,4941142490
United States,USA,1979,5008358608
United States,USA,1980,4808295761
United States,USA,1981,4686171508
United States,USA,1982,4447079918
United States,USA,1983,4429186731
United States,USA,1984,4661920937
United States,USA,1985,4652382863
United States,USA,1986,4663165469
United States,USA,1987,4825444723
United States,USA,1988,5050267778
United States,USA,1989,5131926576
United States,USA,1990,5113454675
United States,USA,1991,5057930940
United States,USA,1992,5167480847
United States,USA,1993,5267343060
United States,USA,1994,5358824048
United States,USA,1995,5421502465
United States,USA,1996,5610581589
United States,USA,1997,5686464995
United States,USA,1998,5731049595
United States,USA,1999,5804668919
United States,USA,2000,6010508353
United States,USA,2001,5904881595
United States,USA,2002,5946770566
United States,USA,2003,6011837495
United States,USA,2004,6114006880
United States,USA,2005,6134521473
United States,USA,2006,6051668046
United States,USA,2007,6131004158
United States,USA,2008,5914077766
United States,USA,2009,5478209686
United States,USA,2010,5675786435
United States,USA,2011,5540173478
United States,USA,2012,5338698344
United States,USA,2013,5474256770
United States,USA,2014,5522807202
United States,USA,2015,5371770557
United States,USA,2016,5248023931
United States,USA,2017,5207751278
United States,USA,2018,5375490614
United States,USA,2019,5255816207
United States,USA,2020,4712770573
